ano,mes,data_referencia,populacao_estim,fonte
2004,7,2004-07-01,178103,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
2004,8,2004-08-01,178878,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
2004,9,2004-09-01,179652,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
2004,10,2004-10-01,180402,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
2004,11,2004-11-01,181177,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
2004,12,2004-12-01,181926,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
2005,1,2005-01-01,182701,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
2005,2,2005-02-01,183476,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
2005,3,2005-03-01,184175,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
2005,4,2005-04-01,184950,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
2005,5,2005-05-01,185700,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
2005,6,2005-06-01,186474,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
2005,7,2005-07-01,187224,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
2005,8,2005-08-01,187999,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
2005,9,2005-09-01,188773,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
2005,10,2005-10-01,189523,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
2005,11,2005-11-01,190298,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
2005,12,2005-12-01,191048,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
2006,1,2006-01-01,191822,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
2006,2,2006-02-01,192597,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
2006,3,2006-03-01,193297,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
2006,4,2006-04-01,194071,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
2006,5,2006-05-01,194821,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
2006,6,2006-06-01,195596,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
2006,7,2006-07-01,196345,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
2006,8,2006-08-01,197120,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
2006,9,2006-09-01,197895,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
2006,10,2006-10-01,198644,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
2006,11,2006-11-01,199419,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
2006,12,2006-12-01,200169,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
2007,1,2007-01-01,200943,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
2007,2,2007-02-01,201718,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
2007,3,2007-03-01,202418,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
2007,4,2007-04-01,203192,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
2007,5,2007-05-01,203942,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
2007,6,2007-06-01,204717,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
2007,7,2007-07-01,205467,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
2007,8,2007-08-01,206241,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
2007,9,2007-09-01,207016,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
2007,10,2007-10-01,207766,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
2007,11,2007-11-01,208540,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
2007,12,2007-12-01,209290,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
2008,1,2008-01-01,210065,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
2008,2,2008-02-01,210839,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
2008,3,2008-03-01,211564,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
2008,4,2008-04-01,212339,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
2008,5,2008-05-01,213088,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
2008,6,2008-06-01,213863,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
2008,7,2008-07-01,214613,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
2008,8,2008-08-01,215387,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
2008,9,2008-09-01,216162,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
2008,10,2008-10-01,216912,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
2008,11,2008-11-01,217686,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
2008,12,2008-12-01,218436,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
2009,1,2009-01-01,219211,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
2009,2,2009-02-01,219985,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
2009,3,2009-03-01,220685,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
2009,4,2009-04-01,221460,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
2009,5,2009-05-01,222210,"Interpolação linear (âncoras: Censos 1991, 2000, 2010, 2022; Estimativa IBGE 2024)"
