ano,mes,temp_media_mes,populacao_estim,populacao_estim_lag1,delta_pop_abs,delta_pop_pct
2013,4,27.1,248453,247927.0,526.0,0.21215922428779438
2013,5,27.5,248962,248453.0,509.0,0.20486772146039692
2013,6,27.5,249488,248962.0,526.0,0.21127722303002067
2013,7,28.2,249997,249488.0,509.0,0.2040178285127942
2013,8,29.2,250523,249997.0,526.0,0.21040252483029795
2013,9,30.4,251049,250523.0,526.0,0.20996076208571668
2013,10,28.5,251558,251049.0,509.0,0.2027492640878872
2013,11,26.7,252084,251558.0,526.0,0.20909690806891454
2013,12,25.8,252593,252084.0,509.0,0.2019168213770013
2014,1,25.7,253119,252593.0,526.0,0.20824013333702834
2014,2,25.4,253645,253119.0,526.0,0.2078073949407196
2014,3,26.2,254120,253645.0,475.0,0.18726960909933174
2014,4,26.7,254646,254120.0,526.0,0.2069888241775539
2014,5,27.5,255155,254646.0,509.0,0.19988533100853734
2014,6,27.2,255680,255155.0,525.0,0.20575728478767807
2014,7,27.7,256189,255680.0,509.0,0.19907697121401752
2014,8,28.9,256715,256189.0,526.0,0.20531716818442633
2014,9,29.4,257241,256715.0,526.0,0.20489648053288664
2014,10,28.5,257750,257241.0,509.0,0.19786892447160442
2014,11,27.3,258276,257750.0,526.0,0.2040737148399612
2014,12,26.6,258785,258276.0,509.0,0.19707599622109678
2015,1,26.5,259311,258785.0,526.0,0.20325753038236372
2015,2,26.0,259837,259311.0,526.0,0.20284523217295064
2015,3,26.4,260312,259837.0,475.0,0.1828069135650427
2015,4,26.4,260838,260312.0,526.0,0.20206521405083133
2015,5,27.5,261347,260838.0,509.0,0.19514027864038214
2015,6,27.8,261873,261347.0,526.0,0.20126498486686284
2015,7,28.1,262382,261873.0,509.0,0.19436902620736005
2015,8,29.2,262908,262382.0,526.0,0.20047106889954344
2015,9,30.4,263434,262908.0,526.0,0.20006998645914162
2015,10,29.9,263943,263434.0,509.0,0.1932172764335659
2015,11,27.9,264469,263943.0,526.0,0.19928545178315016
2015,12,27.9,264978,264469.0,509.0,0.19246112020690515
2016,1,26.3,265504,264978.0,526.0,0.19850704586795884
2016,2,29.5,266029,265504.0,525.0,0.19773713390382067
2016,3,27.6,266521,266029.0,492.0,0.18494224313890592
2016,4,28.5,267047,266521.0,526.0,0.19735780670191092
2016,5,28.8,267556,267047.0,509.0,0.19060315225409757
2016,6,28.2,268082,267556.0,526.0,0.1965943578166814
2016,7,28.3,268591,268082.0,509.0,0.18986727941450748
2016,8,30.1,269117,268591.0,526.0,0.19583679274435853
2016,9,29.7,269643,269117.0,526.0,0.19545402185666455
2016,10,29.3,270152,269643.0,509.0,0.1887681119109341
2016,11,28.3,270678,270152.0,526.0,0.19470520299683142
2016,12,27.1,271187,270678.0,509.0,0.1880463133317078
2017,1,26.2,271713,271187.0,526.0,0.19396209995316885
2017,2,25.7,272239,271713.0,526.0,0.19358661528892618
2017,3,26.6,272714,272239.0,475.0,0.17447904231208608
2017,4,27.2,273240,272714.0,526.0,0.19287605330126065
2017,5,28.1,273749,273240.0,509.0,0.18628312106572978
2017,6,27.5,274275,273749.0,526.0,0.19214682062765526
2017,7,26.8,274784,274275.0,509.0,0.18558016589189683
2017,8,29.6,275310,274784.0,526.0,0.1914230814021195
2017,9,31.5,275836,275310.0,526.0,0.19105735352874942
2017,10,31.1,276345,275836.0,509.0,0.18452993807914847
2017,11,27.5,276870,276345.0,525.0,0.1899799164088368
2017,12,26.1,277379,276870.0,509.0,0.18384079170729947
2018,1,26.3,277905,277379.0,526.0,0.18963223603805623
2018,2,25.9,278431,277905.0,526.0,0.1892733128227272
2018,3,26.6,278906,278431.0,475.0,0.1705988198153223
2018,4,26.7,279432,278906.0,526.0,0.18859400658286304
2018,5,27.7,279941,279432.0,509.0,0.18215522917919208
2018,6,27.4,280467,279941.0,526.0,0.18789673538352725
2018,7,27.4,280976,280467.0,509.0,0.18148302652361953
2018,8,29.4,281502,280976.0,526.0,0.18720460110472067
2018,9,30.1,282028,281502.0,526.0,0.1868548003211345
2018,10,27.8,282537,282028.0,509.0,0.1804785340462649
2018,11,27.1,283063,282537.0,526.0,0.18617030689785763
2018,12,26.9,283572,283063.0,509.0,0.17981862694877113
2019,1,26.7,284098,283572.0,526.0,0.18549081009408547
2019,2,26.3,284624,284098.0,526.0,0.1851473787214271
2019,3,26.4,285099,284624.0,475.0,0.16688684018213504
2019,4,27.3,285625,285099.0,526.0,0.18449731496778313
2019,5,28.1,286134,285625.0,509.0,0.17820568927789934
2019,6,27.6,286660,286134.0,526.0,0.18382995379787093
2019,7,27.8,287169,286660.0,509.0,0.17756226888997417
2019,8,29.5,287694,287169.0,525.0,0.18281917616455814
2019,9,31.2,288220,287694.0,526.0,0.18283314910981807
2019,10,28.0,288729,288220.0,509.0,0.1766012074110055
2019,11,27.6,289255,288729.0,526.0,0.18217775145551712
2019,12,27.9,289764,289255.0,509.0,0.1759693004442447
2020,1,26.8,290290,289764.0,526.0,0.18152703579464669
2020,2,27.0,290816,290290.0,526.0,0.181198112232595
2020,3,26.8,291308,290816.0,492.0,0.16917913732394366
2020,4,27.2,291834,291308.0,526.0,0.18056490038035344
2020,5,27.8,292343,291834.0,509.0,0.1744142217836167
2020,6,27.6,292869,292343.0,526.0,0.17992563529826266
2020,7,27.5,293378,292869.0,509.0,0.17379784135569146
2020,8,29.2,293904,293378.0,526.0,0.17929088070680146
2020,9,31.2,294430,293904.0,526.0,0.17897000381076814
2020,10,29.6,294939,294430.0,509.0,0.1728764052576164
2020,11,28.2,295465,294939.0,526.0,0.178341962236259
2020,12,27.6,295974,295465.0,509.0,0.17227082733995566
2021,1,26.7,296500,295974.0,526.0,0.17771831309506916
2021,2,25.6,297026,296500.0,526.0,0.17740303541315347
2021,3,26.4,297501,297026.0,475.0,0.15991866031929866
2021,4,26.8,298026,297501.0,525.0,0.17646999505884015
2021,5,27.6,298535,298026.0,509.0,0.1707904679457497
2021,6,27.7,299061,298535.0,526.0,0.1761937461269198
2021,7,27.3,299570,299061.0,509.0,0.17019939075974466
2021,8,29.6,300096,299570.0,526.0,0.17558500517408288
2021,9,30.1,300622,300096.0,526.0,0.1752772446150565
2021,10,28.1,301131,300622.0,509.0,0.16931561895004357
2021,11,26.4,301657,301131.0,526.0,0.1746748093022638
2021,12,26.1,302166,301657.0,509.0,0.16873468873588213
2022,1,26.2,302692,302166.0,526.0,0.1740765009961412
2022,2,26.4,303581,302692.0,889.0,0.2936978843180527
2022,3,26.1,304384,303581.0,803.0,0.26450930723596006
2022,4,27.8,305273,304384.0,889.0,0.2920652859545837
2022,5,27.2,306133,305273.0,860.0,0.2817150550490872
2022,6,27.5,307022,306133.0,889.0,0.2903966576618659
2022,7,28.0,307882,307022.0,860.0,0.28011022011451947
2022,8,29.6,308771,307882.0,889.0,0.2887469874822172
2022,9,30.3,309660,308771.0,889.0,0.28791563974596057
2022,10,29.8,310520,309660.0,860.0,0.2777239553058193
2022,11,26.3,311409,310520.0,889.0,0.2862939585211903
2022,12,26.0,312270,311409.0,861.0,0.27648526535841933
2023,1,25.7,313158,312270.0,888.0,0.28436929580171005
2023,2,26.6,314047,313158.0,889.0,0.2838822575185689
2023,3,25.9,314850,314047.0,803.0,0.25569421137600423
2023,4,26.9,315739,314850.0,889.0,0.28235667778307133
2023,5,27.7,316600,315739.0,861.0,0.27269358552475303
2023,6,27.5,317488,316600.0,888.0,0.2804801010739103
2023,7,27.3,318349,317488.0,861.0,0.2711913521140957
2023,8,28.4,319238,318349.0,889.0,0.27925327235204134
2023,9,30.1,320127,319238.0,889.0,0.27847562007029236
2023,10,29.2,320987,320127.0,860.0,0.26864338215770617
2023,11,28.5,321876,320987.0,889.0,0.2769582568764467
2023,12,28.3,322736,321876.0,860.0,0.267183635934335
2024,1,26.6,323625,322736.0,889.0,0.2754573397451787
2024,2,27.1,324497,323625.0,872.0,0.269447663190421
2024,3,27.9,325369,324497.0,872.0,0.2687235937466294
2024,4,27.7,326242,325369.0,873.0,0.26831074871914656
2024,5,28.1,327114,326242.0,872.0,0.26728624763212583
2024,6,27.2,327986,327114.0,872.0,0.2665737327048063
2024,7,27.0,328858,327986.0,872.0,0.26586500643320143
2024,8,28.8,329730,328858.0,872.0,0.26516003867930843
2024,9,31.2,330603,329730.0,873.0,0.2647620780638705
2024,10,29.2,331475,330603.0,872.0,0.26376046194378155
2024,11,27.5,332347,331475.0,872.0,0.2630665962742288
2024,12,26.8,333219,332347.0,872.0,0.2623763716838124
2025,1,26.2,334092,333219.0,873.0,0.26198986252284534
2025,2,26.2,334964,334092.0,872.0,0.2610059504567604
2025,3,26.7,335836,334964.0,872.0,0.26032648284591775
2025,4,27.6,336708,335836.0,872.0,0.259650543717767
2025,5,27.6,337580,336708.0,872.0,0.2589781056583152
2025,6,27.2,338453,337580.0,873.0,0.25860536761656494
2025,7,26.7,339325,338453.0,872.0,0.2576428632631414
2025,8,28.9,340197,339325.0,872.0,0.2569807706476092
