Nome: PALMAS
Codigo Estacao: 83033
Latitude: -10.14777777
Longitude: -48.31444444
Altitude: 267
Situacao: Operante
Data Inicial: 1993-10-07
Data Final: 2025-09-28
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);
2015-02-28;0;21;32,1;26;22,1;
2015-03-31;0;23;32,3;26,4;22,7;
2015-04-30;0;22;32;26,4;22,6;
2015-05-31;9;9;34,5;27,5;23;
2015-06-30;9;0;36,1;27,8;21,6;
2015-07-31;9;0;37;28,1;21,4;
2015-08-31;9;0;38,5;29,2;22;
2015-09-30;0;4;38,6;30,4;24,1;
2015-10-31;0;5;37,3;29,9;24,1;
2015-11-30;0;15;34,6;27,9;23,2;
2015-12-31;0;14;34,8;27,9;23,1;
2016-01-31;0;25;31,5;26,3;23,1;
2016-02-29;0;4;36,8;29,5;24,4;
2016-03-31;0;20;33,1;27,6;24;
2016-04-30;0;8;35,2;28,5;23,8;
2016-05-31;0;2;37;28,8;22,6;
2016-06-30;0;4;36;28,2;22,8;
2016-07-31;0;0;37,6;28,3;21,6;
2016-08-31;0;0;39,1;30,1;23,2;
2016-09-30;0;9;37,2;29,7;24,7;
2016-10-31;0;10;36,7;29,3;24,2;
2016-11-30;0;13;34,8;28,3;23,5;
2016-12-31;0;16;33,3;27,1;22,8;
2017-01-31;0;19;32,1;26,2;22,2;
2017-02-28;0;21;31;25,7;22,4;
2017-03-31;0;20;32,5;26,6;22,6;
2017-04-30;0;20;33,6;27,2;23,1;
2017-05-31;0;4;35,6;28,1;22,6;
2017-06-30;9;0;36,1;27,5;20,9;
2017-07-31;9;0;35,2;26,8;20,4;
2017-08-31;0;0;39,5;29,6;21,7;
2017-09-30;9;0;39,6;31,5;26,5;
2017-10-31;0;6;38,6;31,1;25,4;
2017-11-30;0;19;33,7;27,5;23,4;
2017-12-31;0;21;31,9;26,1;22,5;
2018-01-31;18;22;32,3;26,3;22,2;
2018-02-28;0;22;31,3;25,9;22,3;
2018-03-31;0;21;32,1;26,6;22,4;
2018-04-30;0;15;32,6;26,7;22,5;
2018-05-31;0;1;35,2;27,7;22,7;
2018-06-30;9;0;36,4;27,4;20,5;
2018-07-31;0;0;37,2;27,4;19,4;
2018-08-31;9;3;38,2;29,4;22,7;
2018-09-30;0;5;37,8;30,1;24,3;
2018-10-31;0;16;34,4;27,8;23,2;
2018-11-30;18;21;32,9;27,1;23,2;
2018-12-31;0;16;32,7;26,9;22,9;
2019-01-31;0;18;32,9;26,7;22,4;
2019-02-28;0;19;32;26,3;22,4;
2019-03-31;0;27;32;26,4;22,6;
2019-04-30;0;17;33,4;27,3;23,2;
2019-05-31;0;8;35,3;28,1;23;
2019-06-30;9;1;35,9;27,6;21,5;
2019-07-31;9;0;36,5;27,8;21,1;
2019-08-31;9;0;38,2;29,5;22,5;
2019-09-30;0;1;40;31,2;24,1;
2019-10-31;0;13;34,4;28;23,1;
2019-11-30;0;16;33,9;27,6;23,2;
2019-12-31;0;18;34,4;27,9;23,3;
2020-01-31;0;26;32,4;26,8;23;
2020-02-29;0;19;31,9;27;23,3;
2020-03-31;0;26;32,1;26,8;23,3;
2020-04-30;0;18;32,9;27,2;23,2;
2020-05-31;0;8;34;27,8;23,4;
2020-06-30;0;0;34,7;27,6;22,2;
2020-07-31;0;0;35,7;27,5;21,2;
2020-08-31;9;0;37,8;29,2;22,3;
2020-09-30;9;2;39,3;31,2;25,5;
2020-10-31;36;12;36,8;29,6;24,2;
2020-11-30;0;12;34,3;28,2;24;
2020-12-31;18;16;33,7;27,6;23;
2021-01-31;0;22;32,7;26,7;22,6;
2021-02-28;0;25;30,4;25,6;22,4;
2021-03-31;0;22;32,2;26,4;22,4;
2021-04-30;0;20;32,2;26,8;23;
2021-05-31;0;1;35,1;27,6;21,7;
2021-06-30;0;0;35,9;27,7;20,9;
2021-07-31;0;0;36,4;27,3;20,2;
2021-08-31;9;1;37,8;29,6;22,8;
2021-09-30;0;4;37,6;30,1;24;
2021-10-31;0;16;34,5;28,1;23,4;
2021-11-30;23;24;31,9;26,4;22,7;
2021-12-31;0;25;31;26,1;23,1;
2022-01-31;0;21;31,7;26,2;22,6;
2022-02-28;0;21;32,2;26,4;22,7;
2022-03-31;14;24;31,7;26,1;22,6;
2022-04-30;27;12;33,9;27,8;23,3;
2022-05-31;0;1;34,9;27,2;21,7;
2022-06-30;0;1;36;27,5;21;
2022-07-31;9;0;36,3;28;21,2;
2022-08-31;9;0;37,5;29,6;23,3;
2022-09-30;0;3;37,7;30,3;24,1;
2022-10-31;0;3;36,4;29,8;24,2;
2022-11-30;32;22;31,8;26,3;22,6;
2022-12-31;0;26;31;26;22,7;
2023-01-31;9;24;31,1;25,7;22;
2023-02-28;9;18;32,9;26,6;22,5;
2023-03-31;0;26;31;25,9;22,3;
2023-04-30;5;15;33,1;26,9;22,7;
2023-05-31;9;5;33,9;27,7;23,1;
2023-06-30;9;0;34,8;27,5;21,2;
2023-07-31;9;0;35,5;27,3;20,3;
2023-08-31;9;2;36,1;28,4;22,2;
2023-09-30;9;4;37,6;30,1;23,6;
2023-10-31;32;14;36,6;29,2;24,1;
2023-11-30;32;17;35,1;28,5;23,6;
2023-12-31;5;10;34,5;28,3;23,6;
2024-01-31;9;22;32,1;26,6;23,1;
2024-02-29;5;21;32,5;27,1;23,6;
2024-03-31;32;21;34,3;27,9;23,8;
2024-04-30;0;19;33,8;27,7;23,8;
2024-05-31;9;2;35,6;28,1;22,3;
2024-06-30;9;0;35,5;27,2;20,4;
2024-07-31;9;0;35,6;27;19,6;
2024-08-31;9;0;37,2;28,8;21,7;
2024-09-30;9;1;39,7;31,2;24,4;
2024-10-31;5;13;36,2;29,2;23,9;
2024-11-30;23;19;33,7;27,5;23,5;
2024-12-31;18;23;32,7;26,8;23;
2025-01-31;32;21;31,2;26,2;22,7;
2025-02-28;0;20;31,9;26,2;22,5;
2025-03-31;9;20;32,3;26,7;22,9;
2025-04-30;18;17;33,7;27,6;23,2;
2025-05-31;9;5;34,8;27,6;22,3;
2025-06-30;9;0;35,1;27,2;20,7;
2025-07-31;9;0;35,5;26,7;19;
2025-08-31;9;0;37,3;28,9;21,9;
2025-09-30;9;3;null;null;null;

